faq-001	itinerary	What's the difference between Normal and Polish routes?
faq-002	general	What difference between open and private expeditions?
faq-003	itinerary	What's the difference between extended and short itineraries?
faq-004	itinerary	What itinerary has the best chances to reach the summit?
faq-005	general	What's the best time to climb Aconcagua?
faq-006	general	When do we start hiking?
faq-007	logistics	When should I fly in / out?
faq-008	itinerary	How many days I'll be at the base camp?
faq-009	itinerary	What days & distances do we hike?
faq-010	pricing	Is a Fast/Extreme Ascent cheaper?
faq-011	itinerary	Are there always 2 extra days?
faq-012	risk_and_policies	What happens if I abandon the expedition?
faq-013	services	What are the included services?
faq-014	services	What are the not included services?
faq-015	services	What are the optional services?
faq-016	guides_and_porters	Which are the sections for porters?
faq-017	equipment	What sort of gear do we carry on the expeditions?
faq-018	equipment	What is the gear every climber must carry during the expedition?
faq-019	general	Are there beds on the mountain?
faq-020	general	How can we increase the chances of success?
faq-021	logistics	Which hotel will the expedition stay in?
faq-022	logistics	What communication do we have on the mountain?
faq-023	logistics	Where can we leave the luggage while we do the expedition?
faq-024	itinerary	What happens if we don't take the extra days on the mountain?
faq-025	general	Where to buy flight tickets?
faq-026	services	Is the returning night included?
faq-027	pricing	What's the permit price and procedure?
faq-028	pricing	Can I buy the permit in advance directly from Aconcagua Park?
faq-029	pricing	What happens if I do not buy the permit 90-day in advance?
faq-030	requirements	Do I need rescue insurance?
faq-031	requirements	Do I need a Passport or Visa?
faq-032	requirements	What is the minimum age to enter Aconcagua Park?
faq-033	equipment	Do you have a Gear List?
faq-034	itinerary	Are differences in the gear for both routes?
faq-035	general	Can we rent equipment in Mendoza?
faq-036	equipment	What plastic boots are suitable?
faq-037	equipment	What crampons are suitable?
faq-038	equipment	How big should our backpack be?
faq-039	general	How much weight do we carry on the mountain?
faq-040	equipment	Do we need an ice axe?
faq-041	equipment	Can we use a camelbak?
faq-042	preparation	Do you have a training program?
faq-043	preparation	Do you have any nutrition comments?
faq-044	preparation	Do you have any hydration comments?
faq-045	preparation	Do you recommend Diamox or other drugs?
faq-046	general	What is the Extended Acclimatization Program – EAP?
faq-047	guides_and_porters	What are the Guide's skills and qualifications?
faq-048	guides_and_porters	Are the guides locals?
faq-049	guides_and_porters	When should we hire porters?
faq-050	services	Are porters included after base camp?
faq-051	general	How much weight do we carry on the mountain?
faq-052	guides_and_porters	What is the group size, and how many guides?
faq-053	guides_and_porters	When do we meet with the group guides?
faq-054	guides_and_porters	How much is the regular tip?
faq-055	risk_and_policies	What happens if someone has to descend during the summit day?
